model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9586312	-0.93516523	50.512436	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0467733	-0.93516523	0	0	0	1.0007361	1.0988349	1.0497855	-0.63794641	1.0007361	0.63794641	0.72557941	-0.92177706	-8.957261	R0:N6:S0:1	1.0497855	20a4d9d	v2.1.5	 3.93e-03	 5.45e-02	 1.00e+06	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	2.1008093	-0.9767194	2.8541466	4	1.2299193	-0.99151358	1.2298532	-0.99145364	2	1	0.41792599	0.4449416	0.41791382	0.44492919	1.0203998	-0.9767194	0	0	0	1.0327172	1.0120975	1.0224073	-0.67838085	1.0327172	0.67838085	0.70867268	-0.66743333	-9.2143194	R0:N6:S0:1	1.0224073	20a4d9d	v2.1.5	 8.77e-04	 3.20e-02	 1.24e-02	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	1.9906002	-1.009282	1.8494911	4	1.1986269	-0.9383855	1.1986137	-0.93831336	2	1	0.42116818	0.42810493	0.42116869	0.42809414	1.0093672	-1.009282	0	0	0	1.0226769	1.0046613	1.0136691	-0.70348005	1.0226769	0.70348005	0.6383937	-0.6023624	-9.0250976	R0:N6:S0:1	1.0136691	20a4d9d	v2.1.5	 9.46e-04	 4.46e-02	 1.30e-02	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	2.1327684	-0.97639542	4.6824183	4	1.1409192	-1.0055113	1.1409061	-1.0054839	2	1	0.43103183	0.43250751	0.43103108	0.43249991	1.0035517	-0.97639542	0	0	0	0.98735427	1.0239767	1.0056655	-0.66304296	0.98735427	0.66304296	0.64862261	-0.72186749	-9.2797967	R0:N6:S0:1	1.0056655	20a4d9d	v2.1.5	 3.85e-03	 7.62e-02	 1.62e-02	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	1.9877285	-0.97380788	7.5388006	4	1.0075426	-0.93289186	1.00753	-0.9329323	2	1	0.42232274	0.42196111	0.42232197	0.42196897	1.0088454	-0.97380788	0	0	0	1.0133637	1.0034474	1.0084055	-0.66015658	1.0133637	0.66015658	0.70641418	-0.68658168	-8.9819851	R0:N6:S0:1	1.0084055	20a4d9d	v2.1.5	 7.94e-04	 5.77e-02	 1.50e-02	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	2.15484	-0.99352017	12.396799	4	1.0875529	-1.0147407	1.0874986	-1.0147802	2	1	0.42879482	0.43502866	0.4287892	0.43503392	1.0168427	-0.99352017	0	0	0	0.99947328	1.0253597	1.0124165	-0.68658534	0.99947328	0.68658534	0.62577588	-0.6775487	-9.3613583	R0:N6:S0:1	1.0124165	20a4d9d	v2.1.5	 6.78e-03	 1.50e-01	 1.06e-02	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	1.8272508	-1.0169226	4.4349198	4	1.4273675	-0.76800122	1.1013438	-0.95493604	2	1	0.42668586	0.42132229	0.42023437	0.42512731	1.0122075	-1.0169226	0	0	0	1.0281116	1.0115633	1.0198374	-0.71502629	1.0281116	0.71502629	0.62617059	-0.59307403	-8.6442589	R0:N6:S0:1	1.0198374	20a4d9d	v2.1.5	 1.18e-03	 1.28e-01	 3.79e-02	general_bath_1D.py	2023-07-06@11:51
2L_4b_gen	2.0002958	-0.96980619	10.39603	4	1.1102941	-0.94070413	1.1103237	-0.94073002	2	1	0.42350095	0.425936	0.42350561	0.42593952	1.0324595	-0.96980619	0	0	0	1.0182459	1.0433824	1.0308141	-0.66595807	1.0182459	0.66595807	0.70457561	-0.75484865	-8.9915354	R0:N6:S0:1	1.0308141	20a4d9d	v2.1.5	 9.07e-04	 3.34e-02	 3.13e-02	general_bath_1D.py	2023-07-06@11:51
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9584717	-1.0015676	-12.361584	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0115027	-1.0015676	0	0	0	1.0240571	1.0060464	1.0150517	-0.6959033	1.0240571	0.6959033	0.65630752	-0.62028617	-8.9487241	R0:N6:S0:1	1.0150517	20a4d9d	v2.1.5	 1.70e-03	 7.62e-02	 1.00e+06	general_bath_1D.py	2023-07-06@13:33
2L_4b_gen	1.9569185	-1.0003925	-1.2271424	4	1.1611359	-0.91764405	1.1611558	-0.91759732	2	1	0.42762323	0.42920302	0.42761782	0.42919582	1.0356363	-1.0003925	0	0	0	1.0419938	1.0286688	1.0353313	-0.69281172	1.0419938	0.69281172	0.69836415	-0.6717141	-8.947176	R0:N6:S0:1	1.0353313	20a4d9d	v2.1.5	 4.95e-03	 5.30e-02	 1.88e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	2.1025562	-1.0093967	11.179828	4	1.2262859	-0.94793834	1.1169442	-1.0406734	2	1	0.42437817	0.43777515	0.42270716	0.44104469	1.0212656	-1.0093967	0	0	0	1.0188134	1.0208916	1.0198525	-0.67784756	1.0188134	0.67784756	0.68193167	-0.68608802	-8.9921036	R0:N6:S0:1	1.0198525	20a4d9d	v2.1.5	 8.83e-03	 2.65e-01	 1.31e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.2482473	-1.0733902	35.373886	4	0.87326276	-0.56457159	0.87324308	-0.56457656	2	1	0.39287218	0.39605505	0.39287826	0.39605244	1.063659	-1.0733902	0	0	0	1.034601	1.0706913	1.0526462	-0.74561086	1.034601	0.74561086	0.57798032	-0.65016093	-7.509068	R0:N6:S0:1	1.0526462	20a4d9d	v2.1.5	 9.13e-03	 2.56e-01	 7.16e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.4236203	-0.97598261	6.5161701	4	1.3504776	-0.72429075	1.3909086	-0.58589683	2	1	0.40978173	0.43832354	0.3891479	0.4219091	1.0393496	-0.97598261	0	0	0	1.0673407	1.0294488	1.0483948	-0.67027796	1.0673407	0.67027796	0.79412545	-0.71834179	-7.8744242	R0:N6:S0:1	1.0483948	20a4d9d	v2.1.5	 7.24e-03	 1.08e-01	 6.33e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.7210708	-1.01562	2.0219552	4	1.2331912	-0.80426676	1.2331116	-0.80425124	2	1	0.41258921	0.42588384	0.41258376	0.4258787	1.0359677	-1.01562	0	0	0	1.0279972	1.0486654	1.0383313	-0.70904997	1.0279972	0.70904997	0.63789436	-0.67923082	-8.422657	R0:N6:S0:1	1.0383313	20a4d9d	v2.1.5	 1.25e-03	 2.70e-02	 5.17e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.7629489	-1.0043697	13.242079	4	1.183083	-0.82455607	1.1831665	-0.82453255	2	1	0.41126027	0.42678047	0.41126756	0.42677575	1.0265018	-1.0043697	0	0	0	1.0270762	1.0318999	1.029488	-0.69245862	1.0270762	0.69245862	0.66923514	-0.67888249	-8.5454722	R0:N6:S0:1	1.029488	20a4d9d	v2.1.5	 2.96e-03	 1.73e-02	 5.82e-03	general_bath_1D.py	2023-07-06@13:34
